word,prob,k,sort
ratio,0.073,0,0
years,0.066,0,1
fact,0.051,0,2
morbidity,0.044,0,3
remarkable,0.037,0,4
mix,0.029,0,5
group,0.029,0,6
booked,0.029,0,7
reduced,0.029,0,8
australia,0.029,0,9
income,0.11,1,0
casualty,0.063,1,1
ordinary,0.039,1,2
profit,0.031,1,3
shareholders,0.031,1,4
currency,0.024,1,5
excellent,0.024,1,6
managed,0.024,1,7
earned,0.024,1,8
gratifying,0.016,1,9
target,0.081,2,0
reserves,0.049,2,1
coming,0.049,2,2
loss,0.041,2,3
improvement,0.024,2,4
guidance,0.024,2,5
potential,0.024,2,6
benefiting,0.024,2,7
areas,0.016,2,8
heavily,0.016,2,9
opportunities,0.058,3,0
market,0.05,3,1
successful,0.043,3,2
agricultural,0.043,3,3
gains,0.029,3,4
historically,0.022,3,5
shorttail,0.022,3,6
profitable,0.022,3,7
agro,0.022,3,8
america,0.022,3,9
premium,0.095,4,0
positive,0.085,4,1
financial,0.04,4,2
low,0.03,4,3
roland,0.025,4,4
reserving,0.02,4,5
left,0.015,4,6
underlying,0.015,4,7
environment,0.015,4,8
single,0.015,4,9
margin,0.066,5,0
kind,0.06,5,1
nonlife,0.046,5,2
mortality,0.04,5,3
account,0.027,5,4
reserve,0.027,5,5
underlying,0.027,5,6
expect,0.02,5,7
combined,0.02,5,8
reduce,0.013,5,9
bit,0.122,6,0
margins,0.083,6,1
question,0.061,6,2
lot,0.039,6,3
extent,0.033,6,4
longevity,0.028,6,5
update,0.028,6,6
figure,0.022,6,7
clients,0.017,6,8
strength,0.017,6,9
year,0.128,7,0
higher,0.041,7,1
high,0.041,7,2
attractive,0.036,7,3
current,0.026,7,4
questions,0.026,7,5
australian,0.026,7,6
things,0.021,7,7
hit,0.021,7,8
targets,0.021,7,9
growth,0.095,8,0
increased,0.074,8,1
property,0.069,8,2
result,0.047,8,3
mentioned,0.042,8,4
adjusted,0.032,8,5
today,0.021,8,6
negative,0.016,8,7
flow,0.016,8,8
unrealized,0.016,8,9
lines,0.047,9,0
point,0.039,9,1
view,0.031,9,2
confident,0.031,9,3
comment,0.031,9,4
sufficient,0.031,9,5
growing,0.023,9,6
activities,0.023,9,7
combined,0.023,9,8
solution,0.023,9,9
increase,0.059,10,0
large,0.055,10,1
investment,0.05,10,2
loss,0.045,10,3
currency,0.045,10,4
volume,0.04,10,5
profitability,0.035,10,6
start,0.025,10,7
based,0.02,10,8
risk,0.02,10,9
good,0.114,11,0
effects,0.034,11,1
solutions,0.034,11,2
competition,0.029,11,3
continues,0.023,11,4
gross,0.023,11,5
expect,0.023,11,6
conservative,0.023,11,7
inflation,0.023,11,8
mind,0.017,11,9
business,0.322,12,0
health,0.043,12,1
rates,0.039,12,2
continued,0.031,12,3
rate,0.027,12,4
budget,0.019,12,5
achieve,0.019,12,6
time,0.019,12,7
underwriting,0.016,12,8
portfolio,0.012,12,9
basis,0.073,13,0
segment,0.06,13,1
reinsurance,0.04,13,2
management,0.033,13,3
share,0.027,13,4
portfolio,0.027,13,5
ahead,0.027,13,6
improve,0.02,13,7
approach,0.02,13,8
forthe,0.02,13,9
quarter,0.131,14,0
life,0.078,14,1
level,0.057,14,2
losses,0.039,14,3
expected,0.03,14,4
development,0.03,14,5
hannover,0.026,14,6
morning,0.026,14,7
unchanged,0.026,14,8
satisfied,0.022,14,9
capital,0.188,15,0
position,0.038,15,1
excess,0.031,15,2
question,0.031,15,3
reason,0.031,15,4
volatility,0.031,15,5
catastrophe,0.031,15,6
uli,0.019,15,7
figures,0.013,15,8
rating,0.013,15,9
